,id,date,team1,team2,toss_winner,winner,inning,over,batting_team,bowling_team,field,D/L,eliminator?,total_runs_y,cum_total,cum_wicket
248,1254058,2021-04-09,12,5,5,5,2,19.5,5,12,1,0,0,160,159,8
249,1254058,2021-04-09,12,5,5,5,2,19.6,5,12,1,0,0,160,160,8
250,1254059,2021-04-10,11,6,6,6,1,0.1,11,6,1,0,0,188,0,0
251,1254059,2021-04-10,11,6,6,6,1,0.2,11,6,1,0,0,188,0,0
252,1254059,2021-04-10,11,6,6,6,1,0.3,11,6,1,0,0,188,4,0
253,1254059,2021-04-10,11,6,6,6,1,0.4,11,6,1,0,0,188,5,0
254,1254059,2021-04-10,11,6,6,6,1,0.5,11,6,1,0,0,188,5,0
255,1254059,2021-04-10,11,6,6,6,1,0.6,11,6,1,0,0,188,5,0
256,1254059,2021-04-10,11,6,6,6,1,1.1,11,6,1,0,0,188,6,0
257,1254059,2021-04-10,11,6,6,6,1,1.2,11,6,1,0,0,188,6,0
258,1254059,2021-04-10,11,6,6,6,1,1.3,11,6,1,0,0,188,6,0
259,1254059,2021-04-10,11,6,6,6,1,1.4,11,6,1,0,0,188,7,0
260,1254059,2021-04-10,11,6,6,6,1,1.5,11,6,1,0,0,188,7,1
261,1254059,2021-04-10,11,6,6,6,1,1.6,11,6,1,0,0,188,7,1
262,1254059,2021-04-10,11,6,6,6,1,1.7,11,6,1,0,0,188,7,1
263,1254059,2021-04-10,11,6,6,6,1,2.1,11,6,1,0,0,188,7,2
264,1254059,2021-04-10,11,6,6,6,1,2.2,11,6,1,0,0,188,7,2
265,1254059,2021-04-10,11,6,6,6,1,2.3,11,6,1,0,0,188,7,2
266,1254059,2021-04-10,11,6,6,6,1,2.4,11,6,1,0,0,188,7,2
267,1254059,2021-04-10,11,6,6,6,1,2.5,11,6,1,0,0,188,7,2
268,1254059,2021-04-10,11,6,6,6,1,2.6,11,6,1,0,0,188,11,2
269,1254059,2021-04-10,11,6,6,6,1,3.1,11,6,1,0,0,188,11,2
270,1254059,2021-04-10,11,6,6,6,1,3.2,11,6,1,0,0,188,11,2
271,1254059,2021-04-10,11,6,6,6,1,3.3,11,6,1,0,0,188,11,2
272,1254059,2021-04-10,11,6,6,6,1,3.4,11,6,1,0,0,188,15,2
273,1254059,2021-04-10,11,6,6,6,1,3.5,11,6,1,0,0,188,19,2
274,1254059,2021-04-10,11,6,6,6,1,3.6,11,6,1,0,0,188,20,2
275,1254059,2021-04-10,11,6,6,6,1,4.1,11,6,1,0,0,188,21,2
276,1254059,2021-04-10,11,6,6,6,1,4.2,11,6,1,0,0,188,21,2
277,1254059,2021-04-10,11,6,6,6,1,4.3,11,6,1,0,0,188,25,2
278,1254059,2021-04-10,11,6,6,6,1,4.4,11,6,1,0,0,188,29,2
279,1254059,2021-04-10,11,6,6,6,1,4.5,11,6,1,0,0,188,30,2
280,1254059,2021-04-10,11,6,6,6,1,4.6,11,6,1,0,0,188,30,2
281,1254059,2021-04-10,11,6,6,6,1,5.1,11,6,1,0,0,188,31,2
282,1254059,2021-04-10,11,6,6,6,1,5.2,11,6,1,0,0,188,32,2
283,1254059,2021-04-10,11,6,6,6,1,5.3,11,6,1,0,0,188,32,2
284,1254059,2021-04-10,11,6,6,6,1,5.4,11,6,1,0,0,188,32,2
285,1254059,2021-04-10,11,6,6,6,1,5.5,11,6,1,0,0,188,33,2
286,1254059,2021-04-10,11,6,6,6,1,5.6,11,6,1,0,0,188,33,2
287,1254059,2021-04-10,11,6,6,6,1,6.1,11,6,1,0,0,188,34,2
288,1254059,2021-04-10,11,6,6,6,1,6.2,11,6,1,0,0,188,38,2
289,1254059,2021-04-10,11,6,6,6,1,6.3,11,6,1,0,0,188,42,2
290,1254059,2021-04-10,11,6,6,6,1,6.4,11,6,1,0,0,188,42,2
291,1254059,2021-04-10,11,6,6,6,1,6.5,11,6,1,0,0,188,43,2
292,1254059,2021-04-10,11,6,6,6,1,6.6,11,6,1,0,0,188,43,2
293,1254059,2021-04-10,11,6,6,6,1,7.1,11,6,1,0,0,188,45,2
